SEASON,TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2015-16,15051,1626160,J.P.,Tokoto,J.P. Tokoto,SF-SG,77.25,6' 5.25'',78.25,6' 6.25'',195.8,82,6' 10'',100.5,8' 4.5'',4.1,8,8.75
2015-16,15052,1626167,Myles,Turner,Myles Turner,C-PF,81.75,6' 9.75'',83.5,6' 11.5'',238.6,88,7' 4'',112,9' 4'',9.3,9.25,9.25
2015-16,15053,1626193,Robert,Upshaw,Robert Upshaw,C,82.75,6' 10.75'',84,7' 0'',258.2,89.5,7' 5.5'',113,9' 5'',12.5,10,11
2015-16,15054,1626173,Rashad,Vaughn,Rashad Vaughn,SG,75.75,6' 3.75'',77,6' 5'',198.6,79,6' 7'',101,8' 5'',6.2,8,8.5
2015-16,15055,1626217,Chris,Walker,Chris Walker,PF,80.75,6' 8.75'',81.25,6' 9.25'',208,86.75,7' 2.75'',108,9' 0'',5.1,9,9
2015-16,15056,1627361,Dez,Wells,Dez Wells,SG,75,6' 3'',76,6' 4'',208.8,81.5,6' 9.5'',100.5,8' 4.5'',8.1,8.75,9.75
2015-16,15058,1626210,Alan,Williams,Alan Williams,PF,79.25,6' 7.25'',80.25,6' 8.25'',261.4,85.75,7' 1.75'',106.5,8' 10.5'',12,8.5,9.5
2015-16,15059,1626159,Justise,Winslow,Justise Winslow,SF,76.5,6' 4.5'',78.5,6' 6.5'',221.8,82.25,6' 10.25'',104.5,8' 8.5'',5.3,8.5,9.25
2015-16,15060,1626174,Christian,Wood,Christian Wood,PF,81.25,6' 9.25'',82.5,6' 10.5'',216,87.25,7' 3.25'',111.5,9' 3.5'',14.7,9.25,10.75
2015-16,15061,1626153,Delon,Wright,Delon Wright,PG,76.25,6' 4.25'',77.5,6' 5.5'',181.4,79.5,6' 7.5'',101.5,8' 5.5'',6.6,8,8.5
2016-17,16000,1627758,Ron,Baker,Ron Baker,SG,75.25,6' 3.25'',76.25,6' 4.25'',212.4,81.75,6' 9.75'',97.5,8' 1.5'',7.85,8.75,9.5
2016-17,16001,1627735,Wade,Baldwin IV,Wade Baldwin IV,PG,74.5,6' 2.5'',76,6' 4'',201.8,83.25,6' 11.25'',100,8' 4'',5.2,9,9.75
2016-17,16002,1627760,Cat,Barber,Cat Barber,PG,73.5,6' 1.5'',74.75,6' 2.75'',173,77.5,6' 5.5'',95.5,7' 11.5'',4.5,8,8.5
2016-17,16003,1627736,Malik,Beasley,Malik Beasley,SG,75.5,6' 3.5'',76.5,6' 4.5'',189.8,79,6' 7'',100.5,8' 4.5'',6.9,8.5,9
2016-17,16004,1627761,DeAndre,Bembry,DeAndre Bembry,SG-SF,76.25,6' 4.25'',77.75,6' 5.75'',206.6,81.25,6' 9.25'',101,8' 5'',7,8,9.25
2016-17,16005,1627791,Ben,Bentil,Ben Bentil,PF,79.25,6' 7.25'',80.25,6' 8.25'',229.2,85.5,7' 1.5'',105,8' 9'',9.7,9.5,10
2016-17,16006,1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,78.25,6' 6.25'',79.25,6' 7.25'',213.6,82,6' 10'',102,8' 6'',5.25,8.5,10
2016-17,16007,1627762,Joel,Bolomboy,Joel Bolomboy,PF,79.5,6' 7.5'',81,6' 9'',224.4,85.75,7' 1.75'',103.5,8' 7.5'',5.15,9,10.25
2016-17,16008,1627763,Malcolm,Brogdon,Malcolm Brogdon,SG,75.75,6' 3.75'',77.5,6' 5.5'',223,82.5,6' 10.5'',98,8' 2'',5.4,9,10.25
2016-17,16009,1627759,Jaylen,Brown,Jaylen Brown,SG-SF,77.25,6' 5.25'',78.75,6' 6.75'',222.8,83.75,6' 11.75'',102.5,8' 6.5'',5.05,8.75,9
2016-17,16011,1627737,Marquese,Chriss,Marquese Chriss,PF,80.75,6' 8.75'',82,6' 10'',233,84.25,7' 0.25'',105,8' 9'',8.5,9,9
2016-17,16012,1627765,Elgin,Cook,Elgin Cook,SF,77,6' 5'',78.25,6' 6.25'',209.8,82,6' 10'',100.5,8' 4.5'',6.35,8.5,10.25
